City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
13,Yellowknife,CA,75.56,broken clouds,62.456,-114.3525,The Explorer Hotel
16,Mayo,US,78.19,clear sky,38.8876,-76.5119,Resorts Resource Group International
20,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
24,Hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Victoria,HK,86.18,overcast clouds,22.2855,114.1577,Mini Central
29,Chateaubelair,VC,79.32,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
35,Turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
47,Kipini,KE,76.39,light rain,-2.5257,40.5262,Delta Sea Mall
50,Kapaa,US,82.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Hithadhoo,MV,82.87,broken clouds,-0.6,73.0833,Scoop Guest House
58,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
59,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
62,Corinto,GR,78.42,scattered clouds,37.9407,22.9573,Ephira Hotel
63,Lompoc,US,87.57,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
64,Miranda,CO,77.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
67,Honiara,SB,80.08,overcast clouds,-9.4333,159.95,Heritage Park Hotel
82,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
85,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
87,Zamora,EC,83.44,overcast clouds,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
91,Alofi,NU,76.89,clear sky,-19.0595,-169.9187,Taloa Heights
95,Tra Vinh,VN,76.89,broken clouds,9.9347,106.3453,Hồng Ân
96,Bandar-E Lengeh,IR,86.94,clear sky,26.5579,54.8807,کافی نت پارس
105,Bahia Honda,CU,81.72,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
106,Sweetwater,US,88.02,broken clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
111,Kavaratti,IN,82.74,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
113,Atuona,PF,78.26,broken clouds,-9.8,-139.0333,Villa Enata
127,Touros,BR,78.19,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
130,Sola,VU,80.4,broken clouds,-13.8833,167.55,Leumerus Bungalows
131,Caliling,PH,81.05,overcast clouds,9.9804,122.4814,Camp Canaan
132,Kismayo,SO,78.6,broken clouds,-0.3582,42.5454,Agan-Hotel
136,Eyl,SO,77.9,broken clouds,7.9803,49.8164,Amiin Hotel
157,Dicabisagan,PH,81.54,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
168,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
169,Dingle,PH,78.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
171,Auki,SB,82.6,overcast clouds,-8.7676,160.7034,Auki Motel
173,Bandarbeyla,SO,78.94,broken clouds,9.4942,50.8122,JABIR HOTEL
174,Kuantan,MY,77.11,few clouds,3.8077,103.326,Hotel Sentral Kuantan
176,Teloloapan,MX,78.44,overcast clouds,18.35,-99.85,Hotel Las Palmas
179,Hammond,US,78.49,clear sky,41.5834,-87.5,"Courtyard by Marriott Chicago Southeast/Hammond, IN"
183,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
184,Ukiah,US,76.44,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
188,Amnat Charoen,TH,77.0,overcast clouds,15.9167,104.75,หอพักนักศึกษา
191,Tuy Hoa,VN,78.8,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
194,Am Timan,TD,83.68,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
196,Sumenep,ID,80.56,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
198,Krian,ID,76.12,overcast clouds,-7.4104,112.5792,Pondok Pesantren Annur Sabilunnajah
199,Itoman,JP,82.42,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
202,Pihuamo,MX,80.49,scattered clouds,19.2499,-103.3828,Hotel Primavera
208,Manacapuru,BR,76.93,broken clouds,-3.2997,-60.6206,Novo Hotel
209,Linqing,CN,76.19,clear sky,36.8456,115.7117,Dongfang Hotel
216,Butaritari,KI,81.59,broken clouds,3.0707,172.7902,Isles Sunset Lodge
217,Manzanillo,CU,84.47,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
218,Dzilam Gonzalez,MX,79.54,overcast clouds,21.2833,-88.9333,posadas
220,Muncar,ID,76.5,overcast clouds,-8.4333,114.3333,Zaky Homestay
