City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Assomada,CV,15.1,-23.6833,69.35,83,5,13.6,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,46.51,57,0,13.8,clear sky
2,Hobart,AU,-42.8794,147.3294,51.66,68,40,9.22,scattered clouds
3,Chuy,UY,-33.6971,-53.4616,58.6,89,100,2.73,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,32.41,74,36,8.57,scattered clouds
5,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,44,75,13.42,broken clouds
6,Peniche,PT,39.3558,-9.3811,62.29,85,43,10.8,scattered clouds
7,Juneau,US,58.3019,-134.4197,69.84,72,75,10.36,broken clouds
8,Avarua,CK,-21.2078,-159.775,82.45,78,17,11.5,few clouds
9,Vila Velha,BR,-20.3297,-40.2925,67.95,77,0,3.44,clear sky
10,Mataura,NZ,-46.1927,168.8643,50.49,74,0,3.27,clear sky
11,Surt,LY,31.2089,16.5887,74.82,73,0,4.7,clear sky
12,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,74,40,13.8,scattered clouds
13,Yellowknife,CA,62.456,-114.3525,75.56,25,80,17.0,broken clouds
14,Rabo De Peixe,PT,37.8,-25.5833,68.27,93,40,1.14,scattered clouds
15,Castro,BR,-24.7911,-50.0119,55.51,89,86,3.44,overcast clouds
16,Mayo,US,38.8876,-76.5119,78.19,49,0,8.05,clear sky
17,Barrow,US,71.2906,-156.7887,28.42,86,100,23.02,overcast clouds
18,New Norfolk,AU,-42.7826,147.0587,51.3,76,97,8.01,overcast clouds
19,Osakarovka,KZ,50.565,72.5692,51.42,58,100,6.38,overcast clouds
20,Bathsheba,BB,13.2167,-59.5167,79.41,94,75,20.71,broken clouds
21,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,9.22,light intensity shower rain
22,Cape Town,ZA,-33.9258,18.4232,64.11,51,10,4.68,clear sky
23,Ushuaia,AR,-54.8,-68.3,33.66,86,84,12.26,broken clouds
24,Hilo,US,19.7297,-155.09,89.28,80,75,9.22,broken clouds
25,Drovyanaya,RU,51.5833,113.0333,55.81,71,100,0.76,overcast clouds
26,Bredasdorp,ZA,-34.5322,20.0403,54.48,79,8,4.12,clear sky
27,Kenai,US,60.5544,-151.2583,71.02,69,0,17.27,clear sky
28,Victoria,HK,22.2855,114.1577,86.18,87,97,8.99,overcast clouds
29,Chateaubelair,VC,13.2833,-61.25,79.32,83,40,12.66,scattered clouds
30,Busselton,AU,-33.65,115.3333,54.5,72,100,9.26,overcast clouds
31,Saint-Philippe,RE,-21.3585,55.7679,69.39,70,51,9.08,broken clouds
32,Farafangana,MG,-22.8167,47.8333,67.64,90,71,3.89,light rain
33,Dikson,RU,73.5069,80.5464,30.04,97,100,7.85,snow
34,Oyama,JP,36.3,139.8,55.17,93,100,11.65,light rain
35,Turayf,SA,31.6725,38.6637,77.25,27,0,11.5,clear sky
36,Saldanha,ZA,-33.0117,17.9442,55.45,40,2,7.92,clear sky
37,Zabol,AF,32.25,67.25,64.06,13,0,5.66,clear sky
38,Bethel,US,41.3712,-73.414,73.53,44,0,5.75,clear sky
39,Rikitea,PF,-23.1203,-134.9692,73.58,78,17,17.72,light rain
40,Maragogi,BR,-9.0122,-35.2225,74.39,88,7,7.74,clear sky
41,Albany,US,42.6001,-73.9662,73.63,37,11,6.73,few clouds
42,Kaitangata,NZ,-46.2817,169.8464,50.76,71,1,3.31,clear sky
43,Constitucion,CL,-35.3333,-72.4167,53.67,83,50,4.43,scattered clouds
44,Lucapa,AO,-8.4192,20.7447,62.4,51,15,4.92,few clouds
45,Cidreira,BR,-30.1811,-50.2056,62.19,96,100,9.26,overcast clouds
46,Puerto Ayora,EC,-0.7393,-90.3518,73.54,91,97,5.01,overcast clouds
47,Kipini,KE,-2.5257,40.5262,76.39,85,73,21.41,light rain
48,Jamestown,US,42.097,-79.2353,66.02,37,100,8.05,overcast clouds
49,Ribeira Grande,PT,38.5167,-28.7,65.8,96,96,11.25,overcast clouds
50,Kapaa,US,22.0752,-159.319,82.47,70,20,11.5,few clouds
51,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,8.05,broken clouds
52,Port Alfred,ZA,-33.5906,26.891,58.17,88,10,1.01,clear sky
53,Varhaug,NO,58.6147,5.6457,51.69,84,89,11.48,overcast clouds
54,Hithadhoo,MV,-0.6,73.0833,82.87,69,61,5.44,broken clouds
55,Bolshaya Sosnova,RU,57.6713,54.6029,52.18,88,100,2.59,overcast clouds
56,Aldan,RU,58.6031,125.3894,68.23,48,18,1.72,few clouds
57,Kargasok,RU,59.0556,80.8572,35.38,91,23,5.3,few clouds
58,Manado,ID,1.487,124.8455,77.77,94,40,2.3,scattered clouds
59,Gat,IL,31.61,34.7642,77.4,68,0,3.0,clear sky
60,Bluff,NZ,-46.6,168.3333,50.81,78,9,9.48,clear sky
61,Nikolskoye,RU,59.7035,30.7861,55.29,77,94,6.31,overcast clouds
62,Corinto,GR,37.9407,22.9573,78.42,56,31,1.34,scattered clouds
63,Lompoc,US,34.6391,-120.4579,87.57,73,40,27.0,scattered clouds
